Stock Number,Days,Year,Model,VIN,Trim,Model Code,Cylinders,Trans,Color,Color Code,MSRP,Invoice,E-Price,Model Code_Key,SKU,KBB AVAIL,KBB_HIGH,KBB_FAIR,KBB_LOW,Strategy,+/-,Color DS,BASE E-Price,Age Discount,DEMO Discount,Accessories,Accessories Cost,E-Price2,DC_CASH,DC_LEASE,DC_FINANCE,,
HM201745,127,2020,CIVIC,2HGFC2F60LH574429,4D LX,FC2F6LEW,4,AUTO,GY,BK,21755,20286.64,"$18,163",FC2F6LEW,FC2F6LEWGY/BK,YES,21014,20213.5,19413.0,L_Less_1000,-11,180.00,18413,250,0,-,0,"$18,163",500.0,500.0,0.0,,
HM210050,127,2021,PILOT,5FNYF6H93MB014232,AWD TRG,YF6H9MKNW,6,AUTO,SX,GR,46040,42166.58,"$39,742",YF6H9MKNW,YF6H9MKNWSX/GR,YES,43981,42111.5,40242.0,L,-1,NO SALES,40242.0,250,250,-,0,"$39,742",1250.0,0.0,0.0,,
HM210051,127,2021,ODYSSEY,5FNRL6H54MB005243,EX,RL6H5MEXW,6,AUTO,RX,BE,36705,34293.52,"$32,643",RL6H5MEXW+,RL6H5MEXW+RX/BE,YES,35662,34277.5,32893.0,L,-3,NO SALES,32893.0,250,0,-,0,"$32,643",0.0,1000.0,0.0,,
HM201752,126,2020,HRV,3CZRU6H5XLM733943,AWD EX,RU6H5LJW,4,AUTO,RE,BK,26690,25973.86,"$23,278",RU6H5LJW,RU6H5LJWRE/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,90.00,23528,250,0,-,0,"$23,278",500.0,250.0,0.0,,
HM201757,126,2020,ACCORD,1HGCV2F57LA028181,4D EXL-2T,CV2F5LJNW,4,AUTO,GV,GR,33525,30737.13,"$28,811",CV2F5LJNW,CV2F5LJNWGV/GR,YES,32432,30996.5,29561.0,L_LESS_500,-2,NO SALES,29061,250,0,-,0,"$28,811",500.0,0.0,0.0,,
HM201528,121,2020,FIT,3HGGK5H42LM721842,LX,GK5H4LEW,4,AUTO,BT,BK,17945,17494.33,"$15,275",GK5H4LEW,GK5H4LEWBT/BK,YES,17550,17037.5,16525.0,L_Less_1000,-7,NO SALES,15525,250,0,-,0,"$15,275",500.0,0.0,0.0,,
HM201534,121,2020,HRV,3CZRU6H51LM730297,AWD EX,RU6H5LJW,4,AUTO,SI,BK,26690,25973.86,"$23,278",RU6H5LJW,RU6H5LJWSI/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,NO SALES,23528,250,0,-,0,"$23,278",500.0,250.0,0.0,,
HM201569,121,2020,HRV,3CZRU6H51LM730252,AWD EX,RU6H5LJW,4,AUTO,GA,BK,26690,25973.86,"$23,278",RU6H5LJW,RU6H5LJWGA/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,180.00,23528,250,0,-,0,"$23,278",500.0,250.0,0.0,,
HM201779,121,2020,ACCORD,1HGCV1F46LA125292,4D EX-T,CV1F4LJW,4,AUTO,WX,BK,29025,26632.68,"$24,873",CV1F4LJW,CV1F4LJWWX/BK,YES,28106,26864.5,25623.0,L_Less_500,-1,NO SALES,25123,250,0,-,0,"$24,873",500.0,0.0,0.0,,
HM201596,117,2020,HRV,3CZRU6H58LM731320,AWD EX,RU6H5LJW,4,AUTO,BK,BK,26690,25973.86,"$23,403",RU6H5LJW,RU6H5LJWBK/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,150.00,23528,125,0,-,0,"$23,403",500.0,250.0,0.0,,
