Stock Number,Days,Year,Model,VIN,Trim,Model Code,Cylinders,Trans,Color,Color Code,MSRP,Invoice,E-Price,Model Code_Key,SKU,KBB AVAIL,KBB_HIGH,KBB_FAIR,KBB_LOW,Strategy,+/-,Color DS,BASE E-Price,Age Discount,DEMO Discount,Accessories,Accessories Cost,E-Price2,DC_CASH,DC_LEASE,DC_FINANCE,,
HM202030,85,2020,CRV,2HKRW2H85LH686331,AWD EXL-T,RW2H8LJNW,4,AUTO,WX,BK,32770,30822.57,"$29,622",RW2H8LJNW,RW2H8LJNWWX/BK,YES,31931,30776.5,29622.0,L,3,120.00,29622.0,0,0,-,0,"$29,622",500.0,500.0,0.0,,
HM202034,85,2020,CIVIC,2HGFC2F63LH594237,4D LX,FC2F6LEW,4,AUTO,GY,BK,21755,20286.64,"$18,413",FC2F6LEW,FC2F6LEWGY/BK,YES,21014,20213.5,19413.0,L_Less_1000,-11,180.00,18413,0,0,-,0,"$18,413",500.0,500.0,0.0,,
HM202037,85,2020,CIVIC,2HGFC2F6XLH594428,4D LX,FC2F6LEW,4,AUTO,BK,BK,21755,20286.64,"$18,413",FC2F6LEW,FC2F6LEWBK/BK,YES,21014,20213.5,19413.0,L_Less_1000,-11,30.00,18413,0,0,-,0,"$18,413",500.0,500.0,0.0,,
HM202035,84,2020,CIVIC,2HGFC2F69LH580004,4D LX,FC2F6LEW,4,AUTO,SI,BK,21755,20286.64,"$18,413",FC2F6LEW,FC2F6LEWSI/BK,YES,21014,20213.5,19413.0,L_Less_1000,-11,90.00,18413,0,0,-,0,"$18,413",500.0,500.0,0.0,,
HM202041,84,2020,CRV,2HKRW2H89LH687238,AWD EXL-T,RW2H8LJNW,4,AUTO,WX,BK,32770,30822.57,"$29,622",RW2H8LJNW,RW2H8LJNWWX/BK,YES,31931,30776.5,29622.0,L,3,120.00,29622.0,0,0,-,0,"$29,622",500.0,500.0,0.0,,
HM202046,84,2020,CRV,2HKRW2H81LH685886,AWD EXL-T,RW2H8LJNW,4,AUTO,SI,BK,32770,30822.57,"$29,622",RW2H8LJNW,RW2H8LJNWSI/BK,YES,31931,30776.5,29622.0,L,3,300.00,29622.0,0,0,-,0,"$29,622",500.0,500.0,0.0,,
HM202047,84,2020,CRV,2HKRW2H80LH685927,AWD EXL-T,RW2H8LJNW,4,AUTO,SI,BK,32770,30822.57,"$29,622",RW2H8LJNW,RW2H8LJNWSI/BK,YES,31931,30776.5,29622.0,L,3,300.00,29622.0,0,0,-,0,"$29,622",500.0,500.0,0.0,,
HM202004,83,2020,CIVIC,19XFC1F33LE022742,4D EX-T,FC1F3LJW,4,AUTO,GX,GR,24905,23202.91,"$22,401",FC1F3LJW,FC1F3LJWGX/GR,YES,24234,23317.5,22401.0,L,3,NO SALES,22401.0,0,0,-,0,"$22,401",0.0,500.0,0.0,,
HM202051,83,2020,CRV,2HKRW2H5XLH687576,AWD EX-T,RW2H5LJW,4,AUTO,WY,IV,30280,28491.68,"$27,418",RW2H5LJW,RW2H5LJWWY/IV,YES,29555,28486.5,27418.0,L,31,60.00,27418.0,0,0,-,0,"$27,418",500.0,500.0,0.0,,
HM202054,83,2020,CRV,2HKRW2H8XLH687815,AWD EXL-T,RW2H8LJNW,4,AUTO,GY,BK,32770,30822.57,"$29,622",RW2H8LJNW,RW2H8LJNWGY/BK,YES,31931,30776.5,29622.0,L,3,60.00,29622.0,0,0,-,0,"$29,622",500.0,500.0,0.0,,
HM202056,83,2020,CIVIC,2HGFC2F61LH596150,4D LX,FC2F6LEW,4,AUTO,BT,BK,21755,20286.64,"$18,413",FC2F6LEW,FC2F6LEWBT/BK,YES,21014,20213.5,19413.0,L_Less_1000,-11,NO SALES,18413,0,0,-,0,"$18,413",500.0,500.0,0.0,,
HM202064,83,2020,CRV,2HKRW2H50LH675016,AWD EX-T,RW2H5LJW,4,AUTO,GV,GR,30280,28491.68,"$27,418",RW2H5LJW,RW2H5LJWGV/GR,YES,29555,28486.5,27418.0,L,31,30.00,27418.0,0,0,-,0,"$27,418",500.0,500.0,0.0,,
HM202067,83,2020,CRV,2HKRW2H81LH685208,AWD EXL-T,RW2H8LJNW,4,AUTO,SV,GR,32770,30822.57,"$29,622",RW2H8LJNW,RW2H8LJNWSV/GR,YES,31931,30776.5,29622.0,L,3,120.00,29622.0,0,0,-,0,"$29,622",500.0,500.0,0.0,,
HM202068,83,2020,CRV,2HKRW2H82LH685198,AWD EXL-T,RW2H8LJNW,4,AUTO,SV,GR,32770,30822.57,"$29,622",RW2H8LJNW,RW2H8LJNWSV/GR,YES,31931,30776.5,29622.0,L,3,120.00,29622.0,0,0,-,0,"$29,622",500.0,500.0,0.0,,
HM202069,83,2020,CRV,2HKRW2H87LH685200,AWD EXL-T,RW2H8LJNW,4,AUTO,SV,GR,32770,30822.57,"$29,622",RW2H8LJNW,RW2H8LJNWSV/GR,YES,31931,30776.5,29622.0,L,3,120.00,29622.0,0,0,-,0,"$29,622",500.0,500.0,0.0,,
HM202071,83,2020,CRV,2HKRW2H81LH688030,AWD EXL-T,RW2H8LJNW,4,AUTO,WX,BK,32770,30822.57,"$29,622",RW2H8LJNW,RW2H8LJNWWX/BK,YES,31931,30776.5,29622.0,L,3,120.00,29622.0,0,0,-,0,"$29,622",500.0,500.0,0.0,,
HM202057,82,2020,CIVIC,2HGFC2F67LH597142,4D LX,FC2F6LEW,4,AUTO,SI,BK,21755,20286.64,"$18,413",FC2F6LEW,FC2F6LEWSI/BK,YES,21014,20213.5,19413.0,L_Less_1000,-11,90.00,18413,0,0,-,0,"$18,413",500.0,500.0,0.0,,
HM202062,82,2020,ACCORD,1HGCV1F18LA150247,4D LX-T,CV1F1LEW,4,AUTO,WY,IV,25225,23166.69,"$21,541",CV1F1LEW,CV1F1LEWWY/IV,YES,24200,23120.5,22041.0,L_Less_500,6,NO SALES,21541,0,0,-,0,"$21,541",500.0,0.0,0.0,,
HM202070,82,2020,CRV,2HKRW2H84LH688460,AWD EXL-T,RW2H8LJNW,4,AUTO,SI,BK,32770,30822.57,"$29,622",RW2H8LJNW,RW2H8LJNWSI/BK,YES,31931,30776.5,29622.0,L,3,300.00,29622.0,0,0,-,0,"$29,622",500.0,500.0,0.0,,
HM202077,82,2020,ACCORD,1HGCV1F35LA148778,4D SPORT-T,CV1F3LEW,4,AUTO,GY,BK,27935,25638.48,"$24,273",CV1F3LEW,CV1F3LEWGY/BK,YES,27162,25967.5,24773.0,L_Less_500,0,NO SALES,24273,0,0,-,0,"$24,273",500.0,0.0,0.0,,
HM202078,82,2020,ACCORD,1HGCV1F35LA148845,4D SPORT-T,CV1F3LEW,4,AUTO,GY,BK,27935,25638.48,"$24,273",CV1F3LEW,CV1F3LEWGY/BK,YES,27162,25967.5,24773.0,L_Less_500,0,NO SALES,24273,0,0,-,0,"$24,273",500.0,0.0,0.0,,
HM202080,82,2020,ACCORD,1HGCV1F37LA148541,4D SPORT-T,CV1F3LEW,4,AUTO,SI,BK,27935,25638.48,"$24,273",CV1F3LEW,CV1F3LEWSI/BK,YES,27162,25967.5,24773.0,L_Less_500,0,60.00,24273,0,0,-,0,"$24,273",500.0,0.0,0.0,,
HM201858,78,2020,FIT,3HGGK5H47LM727734,LX,GK5H4LEW,4,AUTO,SI,BK,17945,17494.33,"$15,525",GK5H4LEW,GK5H4LEWSI/BK,YES,17550,17037.5,16525.0,L_Less_1000,-7,20.00,15525,0,0,-,0,"$15,525",500.0,0.0,0.0,,
HM201865,78,2020,HRV,3CZRU6H53LM736750,AWD EX,RU6H5LJW,4,AUTO,GA,BK,26690,25973.86,"$23,528",RU6H5LJW,RU6H5LJWGA/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,180.00,23528,0,0,-,0,"$23,528",500.0,250.0,0.0,,
HM201866,78,2020,HRV,3CZRU6H5XLM737295,AWD EX,RU6H5LJW,4,AUTO,SI,BK,26690,25973.86,"$23,528",RU6H5LJW,RU6H5LJWSI/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,NO SALES,23528,0,0,-,0,"$23,528",500.0,250.0,0.0,,
HM201867,78,2020,HRV,3CZRU6H51LM737279,AWD EX,RU6H5LJW,4,AUTO,SI,BK,26690,25973.86,"$23,528",RU6H5LJW,RU6H5LJWSI/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,NO SALES,23528,0,0,-,0,"$23,528",500.0,250.0,0.0,,
HM201868,78,2020,HRV,3CZRU6H55LM736930,AWD EX,RU6H5LJW,4,AUTO,BT,BK,26690,25973.86,"$23,528",RU6H5LJW,RU6H5LJWBT/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,120.00,23528,0,0,-,0,"$23,528",500.0,250.0,0.0,,
HM201879,78,2020,HRV,3CZRU6H50LM738116,AWD EX,RU6H5LJW,4,AUTO,BK,BK,26690,25973.86,"$23,528",RU6H5LJW,RU6H5LJWBK/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,150.00,23528,0,0,-,0,"$23,528",500.0,250.0,0.0,,
HM201880,78,2020,HRV,3CZRU6H52LM738134,AWD EX,RU6H5LJW,4,AUTO,BK,BK,26690,25973.86,"$23,528",RU6H5LJW,RU6H5LJWBK/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,150.00,23528,0,0,-,0,"$23,528",500.0,250.0,0.0,,
HM201881,78,2020,HRV,3CZRU6H77LM736008,AWD EXL,RU6H7LJNW,4,AUTO,SI,BK,28290,27524.36,"$25,291",RU6H7LJNW,RU6H7LJNWSI/BK,YES,27934,27112.5,26291.0,L_Less_1000,-4,60.00,25291,0,0,-,0,"$25,291",500.0,250.0,0.0,,
HM201889,78,2020,HRV,3CZRU6H55LM737172,AWD EX,RU6H5LJW,4,AUTO,BK,BK,26690,25973.86,"$23,528",RU6H5LJW,RU6H5LJWBK/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,150.00,23528,0,0,-,0,"$23,528",500.0,250.0,0.0,,
HM202086,78,2020,ACCORD,1HGCV1F17LA150451,4D LX-T,CV1F1LEW,4,AUTO,BP,GR,25225,23166.69,"$21,541",CV1F1LEW,CV1F1LEWBP/GR,YES,24200,23120.5,22041.0,L_Less_500,6,60.00,21541,0,0,-,0,"$21,541",500.0,0.0,0.0,,
HM210101,78,2021,PILOT,5FNYF6H91MB025245,AWD TRG,YF6H9MKNW,6,AUTO,SX,GR,46040,42166.58,"$40,242",YF6H9MKNW,YF6H9MKNWSX/GR,YES,43981,42111.5,40242.0,L,-1,NO SALES,40242.0,0,0,-,0,"$40,242",1250.0,0.0,0.0,,
HM202063,76,2020,ACCORD,1HGCV1F42LA150285,4D EX-T,CV1F4LJW,4,AUTO,WY,IV,29025,26632.68,"$25,123",CV1F4LJW,CV1F4LJWWY/IV,YES,28106,26864.5,25623.0,L_Less_500,-1,60.00,25123,0,0,-,0,"$25,123",500.0,0.0,0.0,,
HM202082,76,2020,CRV,2HKRW2H83LH689311,AWD EXL-T,RW2H8LJNW,4,AUTO,WY,IV,32770,30822.57,"$29,622",RW2H8LJNW,RW2H8LJNWWY/IV,YES,31931,30776.5,29622.0,L,3,30.00,29622.0,0,0,-,0,"$29,622",500.0,500.0,0.0,,
HM202083,76,2020,CRV,2HKRW2H84LH686319,AWD EXL-T,RW2H8LJNW,4,AUTO,WX,BK,32770,30822.57,"$29,622",RW2H8LJNW,RW2H8LJNWWX/BK,YES,31931,30776.5,29622.0,L,3,120.00,29622.0,0,0,-,0,"$29,622",500.0,500.0,0.0,,
HM202091,76,2020,CIVIC,2HGFC2F84LH598105,4D SPORT,FC2F8LEW,4,AUTO,BT,BK,23555,21953.08,"$20,942",FC2F8LEW,FC2F8LEWBT/BK,YES,22925,22058.5,21192.0,L_LESS_250,5,30.00,20942,0,0,-,0,"$20,942",0.0,500.0,0.0,,
HM202097,76,2020,CIVIC,2HGFC2F88LH597510,4D SPORT,FC2F8LEW,4,AUTO,GY,BK,23555,21953.08,"$20,942",FC2F8LEW,FC2F8LEWGY/BK,YES,22925,22058.5,21192.0,L_LESS_250,5,60.00,20942,0,0,-,0,"$20,942",0.0,500.0,0.0,,
HM202100,76,2020,CIVIC,2HGFC2F68LH600422,4D LX,FC2F6LEW,4,AUTO,WY,IV,21755,20286.64,"$18,413",FC2F6LEW,FC2F6LEWWY/IV,YES,21014,20213.5,19413.0,L_Less_1000,-11,120.00,18413,0,0,-,0,"$18,413",500.0,500.0,0.0,,
HM202101,76,2020,CIVIC,2HGFC2F63LH600425,4D LX,FC2F6LEW,4,AUTO,WY,IV,21755,20286.64,"$18,413",FC2F6LEW,FC2F6LEWWY/IV,YES,21014,20213.5,19413.0,L_Less_1000,-11,120.00,18413,0,0,-,0,"$18,413",500.0,500.0,0.0,,
HM202103,76,2020,CIVIC,2HGFC2F82LH600210,4D SPORT,FC2F8LEW,4,AUTO,GY,BK,23555,21953.08,"$20,942",FC2F8LEW,FC2F8LEWGY/BK,YES,22925,22058.5,21192.0,L_LESS_250,5,60.00,20942,0,0,-,0,"$20,942",0.0,500.0,0.0,,
HM201832,75,2020,HRV,3CZRU6H59LM736770,AWD EX,RU6H5LJW,4,AUTO,SI,BK,26690,25973.86,"$23,528",RU6H5LJW,RU6H5LJWSI/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,NO SALES,23528,0,0,-,0,"$23,528",500.0,250.0,0.0,,
HM202106,75,2020,CRV,2HKRW2H86LH688136,AWD EXL-T,RW2H8LJNW,4,AUTO,SV,GR,32770,30822.57,"$29,622",RW2H8LJNW,RW2H8LJNWSV/GR,YES,31931,30776.5,29622.0,L,3,120.00,29622.0,0,0,-,0,"$29,622",500.0,500.0,0.0,,
HM201857,72,2020,RIDGELINE,5FPYK3F53LB019205,AWD RTL,YK3F5LJNW,6,AUTO,GY,GR,39940,36602.76,"$36,502",YK3F5LJNW,YK3F5LJNWGX/GR,YES,38799,37267.5,35736.0,FL,-5,60.00,36501.75,0,0,-,0,"$36,502",0.0,0.0,0.0,,
HM202110,71,2020,ACCORD,1HGCV1F36LA157232,4D SPORT-T,CV1F3LEW,4,AUTO,WX,BK,27935,25638.48,"$24,273",CV1F3LEW,CV1F3LEWWX/BK,YES,27162,25967.5,24773.0,L_Less_500,0,40.00,24273,0,0,-,0,"$24,273",500.0,0.0,0.0,,
HM202112,71,2020,ACCORD,1HGCV1F32LA156532,4D SPORT-T,CV1F3LEW,4,AUTO,BK,BK,27935,25638.48,"$24,273",CV1F3LEW,CV1F3LEWBK/BK,YES,27162,25967.5,24773.0,L_Less_500,0,120.00,24273,0,0,-,0,"$24,273",500.0,0.0,0.0,,
HM202118,71,2020,CIVIC,2HGFC2F61LH602383,4D LX,FC2F6LEW,4,AUTO,BT,BK,21755,20286.64,"$18,413",FC2F6LEW,FC2F6LEWBT/BK,YES,21014,20213.5,19413.0,L_Less_1000,-11,NO SALES,18413,0,0,-,0,"$18,413",500.0,500.0,0.0,,
HM202119,71,2020,CIVIC,2HGFC2F61LH600617,4D LX,FC2F6LEW,4,AUTO,BI,GR,21755,20286.64,"$18,413",FC2F6LEW,FC2F6LEWBI/GR,YES,21014,20213.5,19413.0,L_Less_1000,-11,240.00,18413,0,0,-,0,"$18,413",500.0,500.0,0.0,,
HM210115,71,2021,ODYSSEY,5FNRL6H77MB020353,EXL,RL6H7MJXW,6,AUTO,BY,BN,39975,37337.24,"$35,766",RL6H7MJXW+,RL6H7MJXW+BY/BN,YES,38785,37275.5,35766.0,L,-3,60.00,35766.0,0,0,-,0,"$35,766",0.0,1000.0,0.0,,
HM202121,69,2020,CRV,2HKRW2H82LH688988,AWD EXL-T,RW2H8LJNW,4,AUTO,SI,BK,32770,30822.57,"$29,622",RW2H8LJNW,RW2H8LJNWSI/BK,YES,31931,30776.5,29622.0,L,3,300.00,29622.0,0,0,-,0,"$29,622",500.0,500.0,0.0,,
HM202134,69,2020,CRV,2HKRW2H52LH694313,AWD EX-T,RW2H5LJW,4,AUTO,SV,GR,30280,28491.68,"$27,418",RW2H5LJW,RW2H5LJWSV/GR,YES,29555,28486.5,27418.0,L,31,45.00,27418.0,0,0,-,0,"$27,418",500.0,500.0,0.0,,
HM210148,69,2021,ACCORD,1HGCV1F18MA001922,4D LX-T,CV1F1MEW,4,AUTO,WY,IV,26120,24941.88,"$24,442",CV1F1MEW+,CV1F1MEW+WY/IV,NO,26120,25531,24942.0,L_Less_500,-5,NO SALES,24442,0,0,-,0,"$24,442",0.0,500.0,0.0,,
HM210149,69,2021,ACCORD,1HGCV1F58MA001261,4D EXL-T,CV1F5MJNW,4,AUTO,BK,BK,32045,30104.69,"$29,605",CV1F5MJNW,CV1F5MJNWBK/BK,NO,32045,31075,30105.0,L_LESS_500,1,30.00,29605,0,0,-,0,"$29,605",0.0,500.0,0.0,,
HM210150,69,2021,ACCORD,1HGCV1F5XMA001620,4D EXL-T,CV1F5MJNW,4,AUTO,WY,IV,32440,30474.39,"$29,474",CV1F5MJNW+,CV1F5MJNW+WY/IV,NO,32440,31457,30474.0,L_Less_1000,-2,NO SALES,29474,0,0,-,0,"$29,474",0.0,500.0,0.0,,
HM202095,68,2020,RIDGELINE,5FPYK3F52LB023830,AWD RTL,YK3F5LJNW,6,AUTO,SX,GR,39940,36602.76,"$36,502",YK3F5LJNW,YK3F5LJNWSX/GR,YES,38799,37267.5,35736.0,FL,-5,NO SALES,36501.75,0,0,-,0,"$36,502",0.0,0.0,0.0,,
HM202133,68,2020,CRV,2HKRW2H55LH689414,AWD EX-T,RW2H5LJW,4,AUTO,WY,IV,30280,28491.68,"$27,418",RW2H5LJW,RW2H5LJWWY/IV,YES,29555,28486.5,27418.0,L,31,60.00,27418.0,0,0,-,0,"$27,418",500.0,500.0,0.0,,
HM202143,68,2020,CRV,2HKRW2H52LH694683,AWD EX-T,RW2H5LJW,4,AUTO,SV,GR,30280,28491.68,"$27,418",RW2H5LJW,RW2H5LJWSV/GR,YES,29555,28486.5,27418.0,L,31,45.00,27418.0,0,0,-,0,"$27,418",500.0,500.0,0.0,,
HM210156,68,2021,ACCORD,1HGCV1F16MA000591,4D LX-T,CV1F1MEW,4,AUTO,RN,IV,26120,24941.88,"$24,442",CV1F1MEW+,CV1F1MEW+RN/IV,NO,26120,25531,24942.0,L_Less_500,-5,NO SALES,24442,0,0,-,0,"$24,442",0.0,500.0,0.0,,
HM210159,68,2021,CIVIC,2HGFC2F81MH501668,4D SPORT,FC2F8MEW,4,AUTO,GY,BK,23805,22627.81,"$22,628",FC2F8MEW,FC2F8MEWGY/BK,NO,23805,23216.5,22628.0,L,-3,NO SALES,22628.0,0,0,-,0,"$22,628",0.0,500.0,0.0,,
HM210170,68,2021,CIVICH,SHHFK7H39MU201901,LX,FK7H3MEW,4,AUTO,WX,BK,23350,22310.57,"$22,311",FK7H3MEW+,FK7H3MEW+WX/BK,NO,23350,22830.5,22311.0,L,-1,NO SALES,22311.0,0,0,-,0,"$22,311",0.0,500.0,0.0,,
HM202152,64,2020,CRV,2HKRW2H59LH692994,AWD EX-T,RW2H5LJW,4,AUTO,WY,IV,30280,28491.68,"$27,418",RW2H5LJW,RW2H5LJWWY/IV,YES,29555,28486.5,27418.0,L,31,60.00,27418.0,0,0,-,0,"$27,418",500.0,500.0,0.0,,
HM202162,63,2020,CRV,2HKRW2H87LH676349,AWD EXL-T,RW2H8LJNW,4,AUTO,SI,BK,32770,30822.57,"$29,622",RW2H8LJNW,RW2H8LJNWSI/BK,YES,31931,30776.5,29622.0,L,3,300.00,29622.0,0,0,-,0,"$29,622",500.0,500.0,0.0,,
HM210140,63,2021,PASSPORT,5FNYF8H0XMB003306,AWD ELITE,YF8H0MKNW,6,AUTO,SI,BK,45100,41428.09,"$41,956",YF8H0MKNW,YF8H0MKNWSI/BK,YES,43541,41955.5,40370.0,F,0,NO SALES,41955.5,0,0,-,0,"$41,956",0.0,500.0,0.0,,
HM201986,61,2020,HRV,3CZRU6H53LM736540,AWD EX,RU6H5LJW,4,AUTO,GA,BK,26690,25973.86,"$23,528",RU6H5LJW,RU6H5LJWGA/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,180.00,23528,0,0,-,0,"$23,528",500.0,250.0,0.0,,
HM201987,61,2020,HRV,3CZRU6H54LM738426,AWD EX,RU6H5LJW,4,AUTO,BT,BK,26690,25973.86,"$23,528",RU6H5LJW,RU6H5LJWBT/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,120.00,23528,0,0,-,0,"$23,528",500.0,250.0,0.0,,
HM201988,61,2020,HRV,3CZRU6H51LM738819,AWD EX,RU6H5LJW,4,AUTO,WX,BK,26690,25973.86,"$23,528",RU6H5LJW,RU6H5LJWWX/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,15.00,23528,0,0,-,0,"$23,528",500.0,250.0,0.0,,
HM201990,61,2020,HRV,3CZRU6H77LM739197,AWD EXL,RU6H7LJNW,4,AUTO,WY,GR,28290,27524.36,"$25,291",RU6H7LJNW,RU6H7LJNWWY/GR,YES,27934,27112.5,26291.0,L_Less_1000,-4,NO SALES,25291,0,0,-,0,"$25,291",500.0,250.0,0.0,,
HM202044,61,2020,FIT,3HGGK5H85LM730540,EX,GK5H8LJW,4,AUTO,RE,BK,20015,19500.28,"$17,499",GK5H8LJW,GK5H8LJWRE/BK,YES,19644,19071.5,18499.0,L_Less_1000,-4,300.00,17499,0,0,-,0,"$17,499",500.0,0.0,0.0,,
HM202137,61,2020,CRVHYB,7FART6H94LE023263,HYBRID TRG,RT6H9LKNW,4,AUTO,WX,BK,37170,34941.41,"$34,425",RT6H9LKNW,RT6H9LKNWWX/BK,YES,36634,35529.5,34425.0,L,1,NO SALES,34425.0,0,0,-,0,"$34,425",500.0,0.0,0.0,,
HM202147,61,2020,CRVHYB,7FART6H80LE024191,HYBRID EXL,RT6H8LJNW,4,AUTO,SV,GR,33970,31945.89,"$31,553",RT6H8LJNW,RT6H8LJNWSV/GR,YES,33572,32562.5,31553.0,L,-1,NO SALES,31553.0,0,0,-,0,"$31,553",500.0,0.0,0.0,,
HM210139,61,2021,PASSPORT,5FNYF8H03MB003311,AWD ELITE,YF8H0MKNW,6,AUTO,SI,BK,45100,41428.09,"$41,956",YF8H0MKNW,YF8H0MKNWSI/BK,YES,43541,41955.5,40370.0,F,0,NO SALES,41955.5,0,0,-,0,"$41,956",0.0,500.0,0.0,,
HM210175,61,2021,ACCORD,1HGCV1F3XMA006492,4D SPORT-T,CV1F3MEW,4,AUTO,SI,BK,28185,26491.92,"$25,992",CV1F3MEW,CV1F3MEWSI/BK,NO,28185,27338.5,26492.0,L_LESS_500,-4,NO SALES,25992,0,0,-,0,"$25,992",0.0,500.0,0.0,,
HM201989,57,2020,HRV,3CZRU6H75LM738954,AWD EXL,RU6H7LJNW,4,AUTO,WX,BK,28290,27524.36,"$25,291",RU6H7LJNW,RU6H7LJNWWX/BK,YES,27934,27112.5,26291.0,L_Less_1000,-4,NO SALES,25291,0,0,-,0,"$25,291",500.0,250.0,0.0,,
HM201991,57,2020,HRV,3CZRU6H73LM738967,AWD EXL,RU6H7LJNW,4,AUTO,WX,BK,28290,27524.36,"$25,291",RU6H7LJNW,RU6H7LJNWWX/BK,YES,27934,27112.5,26291.0,L_Less_1000,-4,NO SALES,25291,0,0,-,0,"$25,291",500.0,250.0,0.0,,
HM202073,57,2020,FIT,3HGGK5H80LM731160,EX,GK5H8LJW,4,AUTO,OR,BK,20015,19500.28,"$17,499",GK5H8LJW,GK5H8LJWOR/BK,YES,19644,19071.5,18499.0,L_Less_1000,-4,60.00,17499,0,0,-,0,"$17,499",500.0,0.0,0.0,,
HM202128,57,2020,CIVIC,19XFC1F34LE025214,4D EX-T,FC1F3LJW,4,AUTO,WX,BK,24905,23202.91,"$22,401",FC1F3LJW,FC1F3LJWWX/BK,YES,24234,23317.5,22401.0,L,3,60.00,22401.0,0,0,-,0,"$22,401",0.0,500.0,0.0,,
HM202159,57,2020,CRV,2HKRW2H52LH696871,AWD EX-T,RW2H5LJW,4,AUTO,SI,BK,30280,28491.68,"$27,418",RW2H5LJW,RW2H5LJWSI/BK,YES,29555,28486.5,27418.0,L,31,17.14,27418.0,0,0,-,0,"$27,418",500.0,500.0,0.0,,
HM202165,57,2020,CRV,2HKRW2H57LH696400,AWD EX-T,RW2H5LJW,4,AUTO,GV,GR,30280,28491.68,"$27,418",RW2H5LJW,RW2H5LJWGV/GR,YES,29555,28486.5,27418.0,L,31,30.00,27418.0,0,0,-,0,"$27,418",500.0,500.0,0.0,,
HM202172,57,2020,CRV,2HKRW2H5XLH698643,AWD EX-T,RW2H5LJW,4,AUTO,GV,GR,30280,28491.68,"$27,418",RW2H5LJW,RW2H5LJWGV/GR,YES,29555,28486.5,27418.0,L,31,30.00,27418.0,0,0,-,0,"$27,418",500.0,500.0,0.0,,
HM210152,57,2021,PILOT,5FNYF6H51MB030961,AWD EXL,YF6H5MJNW,6,AUTO,GX,GR,41480,38007.4,"$36,348",YF6H5MJNW,YF6H5MJNWGX/GR,YES,39717,38032.5,36348.0,L,1,NO SALES,36348.0,0,0,-,0,"$36,348",1250.0,0.0,0.0,,
HM210176,57,2021,ACCORD HYBRID,1HGCV3F47MA000492,HYBRID EX,CV3F4MJW,4,AUTO,GY,BK,31275,29384,"$29,857",CV3F4MJW,CV3F4MJWGY/BK,NO,31275,30329.5,29384.0,FL,-2,NO SALES,29856.75,0,0,-,0,"$29,857",0.0,500.0,500.0,,
HM210182,57,2021,ACCORD,1HGCV1F10MA004846,4D LX-T,CV1F1MEW,4,AUTO,WX,BK,26120,24941.88,"$24,442",CV1F1MEW+,CV1F1MEW+WX/BK,NO,26120,25531,24942.0,L_Less_500,-5,NO SALES,24442,0,0,-,0,"$24,442",0.0,500.0,0.0,,
HM210183,57,2021,ACCORD,1HGCV1F44MA005542,4D SPORT SE-T,CV1F4MENW,4,AUTO,BK,BK,29675,27886.48,"$27,386",CV1F4MENW,CV1F4MENWBK/BK,NO,29675,28780.5,27886.0,L_Less_500,-2,NO SALES,27386,0,0,-,0,"$27,386",0.0,500.0,0.0,,
HM210185,57,2021,ACCORD,1HGCV1F1XMA008208,4D LX-T,CV1F1MEW,4,AUTO,BK,BK,25725,24572.18,"$24,572",CV1F1MEW,CV1F1MEWBK/BK,NO,25725,25148.5,24572.0,L,-2,NO SALES,24572.0,0,0,-,0,"$24,572",0.0,500.0,0.0,,
HM210186,57,2021,ACCORD,1HGCV1F39MA007911,4D SPORT-T,CV1F3MEW,4,AUTO,WX,BK,28580,26861.62,"$26,112",CV1F3MEW+,CV1F3MEW+WX/BK,NO,28580,27721,26862.0,l_Less_750,-8,NO SALES,26112,0,0,-,0,"$26,112",0.0,500.0,0.0,,
HM210187,57,2021,ACCORD,1HGCV1F31MA003920,4D SPORT-T,CV1F3MEW,4,AUTO,BM,BK,28580,26861.62,"$26,112",CV1F3MEW+,CV1F3MEW+BM/BK,NO,28580,27721,26862.0,l_Less_750,-8,NO SALES,26112,0,0,-,0,"$26,112",0.0,500.0,0.0,,
HM210190,57,2021,ACCORD,1HGCV1F46MA008507,4D SPORT SE-T,CV1F4MENW,4,AUTO,BK,BK,29675,27886.48,"$27,386",CV1F4MENW,CV1F4MENWBK/BK,NO,29675,28780.5,27886.0,L_Less_500,-2,NO SALES,27386,0,0,-,0,"$27,386",0.0,500.0,0.0,,
HM210239,56,2021,CIVICH,SHHFK7H67MU203995,EX,FK7H6MJW,4,AUTO,WX,BK,25850,24562.9,"$24,313",FK7H6MJW+,FK7H6MJW+WX/BK,NO,25850,25206.5,24563.0,L_LESS_250,-2,NO SALES,24313,0,0,-,0,"$24,313",0.0,500.0,0.0,,
